epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,5719.3,0.62889,0.33493,0.85335,0.88603,0.67049,0.68146,0.44284,0.88124,0.38847,0.94195,0.00107701,0.00107701,0.00107701
145,5758.4,0.60803,0.32811,0.85034,0.90477,0.63342,0.65412,0.46991,0.88973,0.37852,0.9479,0.00107288,0.00107288,0.00107288
146,5797.61,0.60196,0.32177,0.85002,0.82988,0.66566,0.68815,0.48599,0.8837,0.38339,0.95708,0.00106876,0.00106876,0.00106876
147,5836.93,0.61891,0.32855,0.85542,0.88849,0.63477,0.66506,0.44574,0.88576,0.37991,0.94823,0.00106463,0.00106463,0.00106463
148,5876.17,0.62461,0.33176,0.85375,0.72729,0.67183,0.65409,0.45815,0.87579,0.38072,0.94882,0.0010605,0.0010605,0.0010605
149,5915.48,0.62752,0.33723,0.85398,0.97109,0.63617,0.65668,0.43361,0.89432,0.38681,0.95084,0.00105638,0.00105638,0.00105638
150,5957.55,0.61771,0.33053,0.84748,0.97289,0.66878,0.67401,0.45182,0.86977,0.38072,0.93645,0.00105225,0.00105225,0.00105225
151,5996.81,0.63374,0.33922,0.859,0.78169,0.60416,0.61113,0.4459,0.88862,0.39254,0.94327,0.00104813,0.00104813,0.00104813
152,6036.05,0.61103,0.32762,0.84647,0.8566,0.59636,0.59512,0.42106,0.88675,0.38578,0.9434,0.001044,0.001044,0.001044
153,6075.48,0.59368,0.32023,0.84729,0.86711,0.59501,0.62156,0.46343,0.88434,0.37299,0.94452,0.00103987,0.00103987,0.00103987
154,6114.97,0.61113,0.33088,0.85111,0.91129,0.59906,0.6279,0.46036,0.88335,0.38324,0.94796,0.00103575,0.00103575,0.00103575
155,6154.44,0.60105,0.32622,0.84445,0.90048,0.59636,0.64414,0.47237,0.8862,0.37801,0.94728,0.00103162,0.00103162,0.00103162
156,6193.6,0.60028,0.33714,0.84994,0.8237,0.66914,0.66396,0.45095,0.87781,0.3888,0.95222,0.0010275,0.0010275,0.0010275
157,6232.81,0.58587,0.32327,0.84215,0.96523,0.67049,0.67965,0.46078,0.89775,0.38451,0.95351,0.00102337,0.00102337,0.00102337
158,6276.04,0.60287,0.3301,0.84633,0.99132,0.62746,0.66576,0.47118,0.89396,0.39277,0.95575,0.00101925,0.00101925,0.00101925
159,6315.03,0.63548,0.33972,0.85044,0.81557,0.62783,0.63924,0.44833,0.91427,0.40256,0.96119,0.00101512,0.00101512,0.00101512
